dialogue,duration,word_count,has_qmark,has_exclaim,has_ellipsis
"Well, my dad was a farmer.",2.085,6,0,0,0
"Um, like everybody else back then.",2.459,6,0,0,0
"Of course, he didn't start that way.",2.167,7,0,0,0
Computer says you're too tight.,1.92,5,0,0,0
"- Nah, I got this. - Crossing the Straights.",2.543,9,0,0,0
"- Shutting it down, Cooper. - No!",1.751,7,0,1,0
"- Shutting it all down. - No, I need power up!",2.418,11,0,1,0
Dad?,1.042,1,1,0,0
"Sorry, Murph. Go back to bed.",2.501,6,0,0,0
- I thought you were the ghost. - No.,2.502,9,0,0,0
"There are no such things as ghosts, babe.",2.001,8,0,0,0
Grandpa says you can get ghosts.,2.168,6,0,0,0
Maybe that's because Grandpa's close to being one himself. Back to bed.,4.753,12,0,0,0
Were you dreaming about the crash?,1.834,6,1,0,0
"Get your butt back in bed, Murph. Heh.",2.293,8,0,0,0
The wheat had died.,1.501,4,0,0,0
The blight came and we had to burn it.,2.335,9,0,0,0
And we still had corn. We had acres of corn.,2.71,10,0,0,0
"But, uh, mostly we had dust.",2.251,6,0,0,0
I guess I can't describe it. It was just constant.,2.627,10,0,0,0
Just that steady blow... of dirt.,3.878,6,0,0,1
"We wore, um, little strips of sheet...",3.086,7,0,0,1
sometimes over our nose and mouth...,2.71,6,0,0,1
so that we wouldn't breathe so much of it.,2.502,9,0,0,0
"When we set the table, we always set the plate...",2.501,10,0,0,1
"upside-down. Glasses or cups, whatever it was...",2.919,7,0,0,1
upside-down.,1.166,1,0,0,0
"Shake a leg! Murph, get a move on!",2.251,8,0,1,0
"Tom, 4:00 today, you and me in the barn, Herbicide Resistance 101.",3.46,12,0,0,0
"- Check? - Yes, sir.",1.501,5,1,0,0
"Not at the table, Murph.",1.667,5,0,0,0
"Dad, can you fix this?",1.834,5,1,0,0
What the heck did you do...,1.36,6,0,0,1
- to my lander? - Wasn't me.,1.166,7,1,0,0
Let me guess. It was your ghost?,1.876,7,1,0,0
It knocked it off. It keeps knocking books off.,2.335,9,0,0,0
"No such thing as ghosts, dumb-ass.",1.52,6,0,0,0
Hey.,0.52,1,0,0,0
I looked it up. It's called a poltergeist.,1.594,8,0,0,0
"Dad, tell her.",1.25,3,0,0,0
"Well, it's not very scientific, Murph.",1.917,6,0,0,0
You said science was about admitting what we don't know.,2.335,10,0,0,0
- She's got you there. - Hey.,2.168,7,0,0,0
Start looking after our stuff.,1.501,5,0,0,0
Coop.,1.208,1,0,0,0
"All right, Murph, you want to talk science?",2.167,8,1,0,0
"Don't tell me you're afraid of some ghost. No, you got to go further.",3.252,14,0,0,0
"You got to record the facts, analyze, get to the how and the why...",3.169,14,0,0,1
